transport,intervention_family,feature_id,lexicon,n_templates,mean_oriented_z,ci_low,ci_high,inference_role
jacobian,hedging_uncertainty,63519,refusal_safety,51,0.1493679316035118,0.13656998217007343,0.16225223753691942,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,63519,hedging_uncertainty,51,0.4156084273595559,0.39928330402195983,0.432606504257113,mandatory_descriptive_heterogeneity
jacobian,hedging_uncertainty,63519,formality_politeness,51,0.02477949660684755,0.008307219019860815,0.043442562161231386,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,1806,deception_dishonesty,51,0.07602859773579304,0.06503194705800831,0.08730367873535061,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,1806,refusal_safety,51,0.10228334299813217,0.08732055887423563,0.11840247611764979,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,1806,hedging_uncertainty,51,0.030648933782786932,0.01660007797086633,0.04487156920018671,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,1806,formality_politeness,51,0.3803777074239552,0.3503141918351498,0.41199693488211264,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,5730,deception_dishonesty,51,0.002371122897239897,-0.008796056223547948,0.01390313177537997,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,5730,refusal_safety,51,0.02615766530604349,0.011423346190142618,0.040794786657600675,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,5730,hedging_uncertainty,51,-0.01913010025269643,-0.030053820886447348,-0.00946345632056993,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,5730,formality_politeness,51,0.004878965979301918,-0.010115200468760181,0.01992316267678419,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,28609,deception_dishonesty,51,0.033590605524882765,0.02393968079508558,0.04433512309937189,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,28609,refusal_safety,51,0.05834665083623556,0.044558548964879846,0.07193666094088275,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,28609,hedging_uncertainty,51,-0.05699926075209716,-0.06855709992043961,-0.04555107373365624,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,28609,formality_politeness,51,0.37683004715855734,0.35132864320956925,0.40289482618680017,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,31440,deception_dishonesty,51,0.01918342163357291,0.008000070402777575,0.03046768187383472,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,31440,refusal_safety,51,0.059133661145983785,0.0467817770753891,0.07160717329076073,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,31440,hedging_uncertainty,51,0.025570881048175034,0.013146556313050447,0.038764821349080755,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,31440,formality_politeness,51,-0.01573955120554575,-0.034825093123955576,0.002821848446507957,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,32375,deception_dishonesty,51,-0.009834118704763207,-0.01892678352784027,-0.0010006414639863045,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,32375,refusal_safety,51,0.02538885566748089,0.011328184963823925,0.03998788143053736,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,32375,hedging_uncertainty,51,0.01873668751570661,0.005088421342899745,0.0323086186087281,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,32375,formality_politeness,51,-0.06370546717954505,-0.08039434243628484,-0.04692862731516793,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,44260,deception_dishonesty,51,0.044674500534500436,0.03480887370751812,0.054101922803553734,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,44260,refusal_safety,51,0.06922810177350847,0.05591070821437864,0.08315970167910264,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,44260,hedging_uncertainty,51,0.10181420011660888,0.08588968138922243,0.11828327106291857,mandatory_descriptive_heterogeneity
jacobian,formality_politeness,44260,formality_politeness,51,0.18093628545792104,0.16324616322984847,0.19899228486782353,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,22004,deception_dishonesty,51,0.04413545987154646,0.025339852876706693,0.06357371174737994,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,22004,refusal_safety,51,-0.05771202728902101,-0.0766334135195754,-0.037638599579468426,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,22004,hedging_uncertainty,51,-0.05790475139529272,-0.07493535452038047,-0.04025872420091513,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,22004,formality_politeness,51,-0.05160827899743943,-0.06982590569227472,-0.033022071892062556,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,23893,deception_dishonesty,51,0.011202309341256851,-0.010611504983039546,0.03242753454874352,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,23893,refusal_safety,51,0.14541527775357244,0.12487345409619545,0.16654216397746224,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,23893,hedging_uncertainty,51,-0.008837934133990812,-0.030258988228435528,0.012532452040129035,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,23893,formality_politeness,51,-0.08149031091404621,-0.10810350278489243,-0.05547640450500734,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30032,deception_dishonesty,51,0.01887125463801275,-0.000581664402265856,0.038017945311817146,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30032,refusal_safety,51,-0.023669007102230473,-0.04680498964061211,-0.00015693038362930403,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30032,hedging_uncertainty,51,-0.053881408101390846,-0.0740294856350324,-0.03371329026977442,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30032,formality_politeness,51,-0.1794789466657499,-0.21034025195251332,-0.14662577730219858,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30686,deception_dishonesty,51,0.5548086831834608,0.49908716430957467,0.6057987130320616,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30686,refusal_safety,51,-0.055869370145630204,-0.07272383125420606,-0.03935318328187565,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30686,hedging_uncertainty,51,0.08321518698811278,0.06230137911425418,0.10392103452486125,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,30686,formality_politeness,51,0.25195341331702803,0.22889214976920808,0.27466196458219766,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,41533,deception_dishonesty,51,0.3674735885225023,0.3224405886104884,0.40938528187355316,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,41533,refusal_safety,51,0.08619518372383904,0.0561146181863729,0.11651332611349115,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,41533,hedging_uncertainty,51,0.18368995332513585,0.16123927119218912,0.2055463545359964,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,41533,formality_politeness,51,0.18171481389586147,0.14871142224412123,0.21487407383530585,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,58667,deception_dishonesty,51,0.09735860857525591,0.06503513597529256,0.12926165476565954,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,58667,refusal_safety,51,-0.06885095796577406,-0.08926379519827865,-0.046506491274740366,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,58667,hedging_uncertainty,51,-0.15548925353657278,-0.17530374607303767,-0.13474313288855377,mandatory_descriptive_heterogeneity
identity,deception_dishonesty,58667,formality_politeness,51,-0.11441695517705418,-0.14049278774325147,-0.08839457398492091,mandatory_descriptive_heterogeneity
identity,refusal_safety,5253,deception_dishonesty,51,-0.09348085664326285,-0.120594708961266,-0.06890185435355096,mandatory_descriptive_heterogeneity
identity,refusal_safety,5253,refusal_safety,51,-0.03787966814165805,-0.06003897227296952,-0.016343937552102467,mandatory_descriptive_heterogeneity
identity,refusal_safety,5253,hedging_uncertainty,51,-0.09282223967496307,-0.11562197434915572,-0.07105309528793621,mandatory_descriptive_heterogeneity
identity,refusal_safety,5253,formality_politeness,51,-0.1842091129653603,-0.21242991582183512,-0.15653177474946056,mandatory_descriptive_heterogeneity
identity,refusal_safety,6599,deception_dishonesty,51,-0.04633287451351934,-0.07154831365379702,-0.023355051709862774,mandatory_descriptive_heterogeneity
identity,refusal_safety,6599,refusal_safety,51,0.014547848896367049,-0.0025448666867991256,0.031251796877298066,mandatory_descriptive_heterogeneity
identity,refusal_safety,6599,hedging_uncertainty,51,-0.053637287684941706,-0.07003297657269501,-0.03687114578017297,mandatory_descriptive_heterogeneity
identity,refusal_safety,6599,formality_politeness,51,-0.1502679583383104,-0.1722994494932198,-0.12812392387149368,mandatory_descriptive_heterogeneity
identity,refusal_safety,12300,deception_dishonesty,51,-0.1762294370009604,-0.20867663124371127,-0.1441239309300461,mandatory_descriptive_heterogeneity
identity,refusal_safety,12300,refusal_safety,51,0.03762400790399612,0.0072264305252648705,0.06813102366422479,mandatory_descriptive_heterogeneity
identity,refusal_safety,12300,hedging_uncertainty,51,-0.0402205122663014,-0.06834574854744578,-0.01270601570040141,mandatory_descriptive_heterogeneity
identity,refusal_safety,12300,formality_politeness,51,-0.007008182069521494,-0.040172996442939,0.025872896131892247,mandatory_descriptive_heterogeneity
identity,refusal_safety,13092,deception_dishonesty,51,-0.14986313562901496,-0.18008883285221083,-0.12032222149910271,mandatory_descriptive_heterogeneity
identity,refusal_safety,13092,refusal_safety,51,0.2642190757186073,0.23648636923286942,0.29107731487967,mandatory_descriptive_heterogeneity
identity,refusal_safety,13092,hedging_uncertainty,51,-0.003696880004474063,-0.026287635109850372,0.018536257707798258,mandatory_descriptive_heterogeneity
identity,refusal_safety,13092,formality_politeness,51,-0.08612441248008348,-0.11534483915256936,-0.05651505409592253,mandatory_descriptive_heterogeneity
identity,refusal_safety,53974,deception_dishonesty,51,-0.05201404352361825,-0.07356739500050949,-0.030780493186758167,mandatory_descriptive_heterogeneity
identity,refusal_safety,53974,refusal_safety,51,0.48466403281782006,0.4544573220850052,0.5161822774543835,mandatory_descriptive_heterogeneity
identity,refusal_safety,53974,hedging_uncertainty,51,-0.2076390317838171,-0.23291911030353668,-0.18316597267535736,mandatory_descriptive_heterogeneity
identity,refusal_safety,53974,formality_politeness,51,0.14500007279913582,0.11163402478786419,0.17949611243296593,mandatory_descriptive_heterogeneity
identity,refusal_safety,61212,deception_dishonesty,51,-0.04881622611641743,-0.07173801204395129,-0.027719851511710282,mandatory_descriptive_heterogeneity
identity,refusal_safety,61212,refusal_safety,51,0.004962365500043141,-0.015152274877842238,0.02503042421658402,mandatory_descriptive_heterogeneity
identity,refusal_safety,61212,hedging_uncertainty,51,0.06781727689056452,0.04871100270146112,0.0868500902278087,mandatory_descriptive_heterogeneity
identity,refusal_safety,61212,formality_politeness,51,-0.14788885592662046,-0.17985880937706272,-0.11806141525427437,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,8923,deception_dishonesty,51,0.01164623391328395,-0.007769968108923055,0.02966846956405744,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,8923,refusal_safety,51,-0.15702071611239482,-0.18435947605290573,-0.13162200475538113,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,8923,hedging_uncertainty,51,0.03137890228501254,0.00940473106941138,0.052769441490391054,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,8923,formality_politeness,51,-0.002090587033986669,-0.028473778322003422,0.023485255499660254,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,19175,deception_dishonesty,51,-0.062204717345859285,-0.08703112349462998,-0.03708015467465313,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,19175,refusal_safety,51,0.016010664800367523,-0.006052098504279911,0.03888923192905773,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,19175,hedging_uncertainty,51,-0.014655084638879363,-0.039365755501862436,0.008839283604867878,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,19175,formality_politeness,51,0.0686173484348755,0.0372076940206873,0.09852894801040672,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,34259,deception_dishonesty,51,0.0483655316459362,0.028916284175781397,0.06718691495571416,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,34259,refusal_safety,51,-0.12345680733463923,-0.14447957682561308,-0.10212817156968527,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,34259,hedging_uncertainty,51,0.11444414190375976,0.0990696671622457,0.1304267339485998,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,34259,formality_politeness,51,0.11975027163520877,0.09546924612576783,0.14578119282723825,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53782,deception_dishonesty,51,0.10106294671245403,0.08151125330447694,0.12019635926987941,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53782,refusal_safety,51,0.1609070365069207,0.14006278355597437,0.18313720882083098,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53782,hedging_uncertainty,51,0.29004549935492335,0.2690605367434332,0.3118140194327188,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53782,formality_politeness,51,0.05819895080018648,0.03532625348403329,0.08120221063548697,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53919,deception_dishonesty,51,0.0781996060970674,0.055009182843159865,0.10166522832535393,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53919,refusal_safety,51,-0.07886244076403669,-0.10015971126880349,-0.057252721790175036,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53919,hedging_uncertainty,51,0.13978500122486476,0.11781107938931072,0.16156171444185516,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,53919,formality_politeness,51,-0.09673148918326283,-0.12002699536780646,-0.07373586925704455,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,63519,deception_dishonesty,51,0.13174153596828678,0.10850972405528896,0.15586790917868465,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,63519,refusal_safety,51,0.3233868497295846,0.30023714193123213,0.347597556105977,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,63519,hedging_uncertainty,51,0.6410157333013615,0.6130594755442071,0.6715739818974932,mandatory_descriptive_heterogeneity
identity,hedging_uncertainty,63519,formality_politeness,51,0.2423932348507581,0.21325172002420972,0.27344210149634907,mandatory_descriptive_heterogeneity
identity,formality_politeness,1806,deception_dishonesty,51,0.1518073944405439,0.1285458837961527,0.17574987227865388,mandatory_descriptive_heterogeneity
identity,formality_politeness,1806,refusal_safety,51,0.17722904794213462,0.1548863012341692,0.19966053555611,mandatory_descriptive_heterogeneity
identity,formality_politeness,1806,hedging_uncertainty,51,0.02611213261238326,0.004574268491600547,0.04792640715119573,mandatory_descriptive_heterogeneity
identity,formality_politeness,1806,formality_politeness,51,0.3881469429555224,0.35319165410282916,0.42575563612203676,mandatory_descriptive_heterogeneity
identity,formality_politeness,5730,deception_dishonesty,51,0.029589211833800866,0.005048279212590918,0.05391871748822859,mandatory_descriptive_heterogeneity
identity,formality_politeness,5730,refusal_safety,51,-0.06459173832474252,-0.08874720068723602,-0.04114812145142998,mandatory_descriptive_heterogeneity
identity,formality_politeness,5730,hedging_uncertainty,51,-0.1174150971290704,-0.1451103111893552,-0.0913809506849934,mandatory_descriptive_heterogeneity
identity,formality_politeness,5730,formality_politeness,51,-0.12422863618741999,-0.14753415421662058,-0.10009500794471282,mandatory_descriptive_heterogeneity
identity,formality_politeness,28609,deception_dishonesty,51,0.10252335822716223,0.08356720565330931,0.12196292541580225,mandatory_descriptive_heterogeneity
identity,formality_politeness,28609,refusal_safety,51,0.01687024948363696,-0.003602181925227594,0.03686300480066412,mandatory_descriptive_heterogeneity
identity,formality_politeness,28609,hedging_uncertainty,51,0.0019790566206697464,-0.01952115734023055,0.023889145772911465,mandatory_descriptive_heterogeneity
identity,formality_politeness,28609,formality_politeness,51,0.12628968028970267,0.09745518599328638,0.15424823437870844,mandatory_descriptive_heterogeneity
identity,formality_politeness,31440,deception_dishonesty,51,-0.027963803374771567,-0.05121415663563906,-0.003368921136044939,mandatory_descriptive_heterogeneity
identity,formality_politeness,31440,refusal_safety,51,0.03687044828118293,0.016574554549530177,0.05790346043184256,mandatory_descriptive_heterogeneity
identity,formality_politeness,31440,hedging_uncertainty,51,-0.1297872692077566,-0.15821597124911546,-0.0999988263006367,mandatory_descriptive_heterogeneity
identity,formality_politeness,31440,formality_politeness,51,-0.08359068901262087,-0.11263402445785346,-0.055637513487741375,mandatory_descriptive_heterogeneity
identity,formality_politeness,32375,deception_dishonesty,51,0.04433576073649389,0.022338485704796674,0.0667052606121321,mandatory_descriptive_heterogeneity
identity,formality_politeness,32375,refusal_safety,51,0.029596476465551413,0.005614917683062386,0.05431282187706428,mandatory_descriptive_heterogeneity
identity,formality_politeness,32375,hedging_uncertainty,51,0.0972809543657898,0.0781332871370095,0.11656446001861019,mandatory_descriptive_heterogeneity
identity,formality_politeness,32375,formality_politeness,51,-0.15058784081283302,-0.1780609272555531,-0.12273055818573228,mandatory_descriptive_heterogeneity
identity,formality_politeness,44260,deception_dishonesty,51,0.04187952271872042,0.020695735559589964,0.0627950958709122,mandatory_descriptive_heterogeneity
identity,formality_politeness,44260,refusal_safety,51,0.09258026413462296,0.07107331487538528,0.11533286943170248,mandatory_descriptive_heterogeneity
identity,formality_politeness,44260,hedging_uncertainty,51,-0.012352442364008254,-0.03312229906360567,0.008242056041836185,mandatory_descriptive_heterogeneity
