direction_id,role,feature_id,matched_target_feature_id,control_panel,k,target_norm,fitted_norm,remainder_norm,explained_squared_norm,fit_cosine
sae-control-p2-47797,matched_control,47797,22004,2,25,1.226605772972107,0.4026937484741211,1.1586196422576904,0.1077803884419617,0.32829922437667847
sae-control-p3-58741,matched_control,58741,22004,3,5,1.226611852645874,0.1307956576347351,1.2196184396743774,0.011370307258729895,0.10663165897130966
sae-control-p3-58741,matched_control,58741,22004,3,10,1.226611852645874,0.14977312088012695,1.2174336910247803,0.014909074391242005,0.12210310995578766
sae-control-p3-58741,matched_control,58741,22004,3,16,1.226611852645874,0.1616232693195343,1.2159172296524048,0.017361646487451754,0.1317639946937561
sae-control-p3-58741,matched_control,58741,22004,3,25,1.226611852645874,0.1729949712753296,1.2143514156341553,0.019890828862873744,0.1410348117351532
random-residual-for-22004,isotropic_control,,22004,,5,1.224581003189087,0.10279110074043274,1.2202593088150024,0.007045787043808871,0.0839398205280304
random-residual-for-22004,isotropic_control,,22004,,10,1.224581003189087,0.12990960478782654,1.2176707983016968,0.011253984872575673,0.1060849279165268
random-residual-for-22004,isotropic_control,,22004,,16,1.224581003189087,0.14700666069984436,1.2157251834869385,0.01441113050273446,0.12004651129245758
random-residual-for-22004,isotropic_control,,22004,,25,1.224581003189087,0.16181819140911102,1.213842511177063,0.017461333218262376,0.13214167952537537
sae-target-30686,target,30686,30686,,5,1.1009684801101685,0.5554093718528748,0.9506061673164368,0.2544934150162448,0.5044734477996826
sae-target-30686,target,30686,30686,,10,1.1009684801101685,0.5928011536598206,0.9277491569519043,0.2899133210071867,0.5384360551834106
sae-target-30686,target,30686,30686,,16,1.1009684801101685,0.6014041900634766,0.922195553779602,0.29838918193127717,0.5462501049041748
sae-target-30686,target,30686,30686,,25,1.1009684801101685,0.6085270643234253,0.917510986328125,0.3054991602697049,0.5527198314666748
sae-control-p1-21779,matched_control,21779,30686,1,5,1.09898042678833,0.1281767338514328,1.0914801359176636,0.013602966533009186,0.11663240939378738
sae-control-p1-21779,matched_control,21779,30686,1,10,1.09898042678833,0.14837315678596497,1.0889184474945068,0.018227652859733823,0.13500984013080597
