transport,layer,position,sign,n_pairs,n_template_families,mean_target_minus_matched,ci_low,ci_high
random_j_1,60,assistant_boundary,suppression,306,51,0.09959563614231434,0.08318860373514968,0.11598322629673978
random_j_1,60,content_mean,amplification,306,51,-0.08568405806893685,-0.0928056118057665,-0.07896952843359889
random_j_1,60,content_mean,suppression,306,51,0.0865613862737447,0.08004772807402974,0.09339045531428766
random_j_1,60,last_content,amplification,306,51,-0.06168854061903712,-0.07771969026753914,-0.044856229910320386
random_j_1,60,last_content,suppression,306,51,0.06905817813917177,0.05245681336878881,0.08518423661961504
random_j_1,65,assistant_boundary,amplification,306,51,0.024386426146080647,0.010605288610317714,0.03796569048095198
random_j_1,65,assistant_boundary,suppression,306,51,-0.036979804074565206,-0.049656464776271114,-0.024287829865884868
random_j_1,65,content_mean,amplification,306,51,0.01927466210659998,0.011759373837923788,0.0269150639316459
random_j_1,65,content_mean,suppression,306,51,-0.035208541648447195,-0.04192554742227966,-0.028497408728972776
random_j_1,65,last_content,amplification,306,51,0.0025655604508786085,-0.01334615443679854,0.019506018097501264
random_j_1,65,last_content,suppression,306,51,-0.01204911629620672,-0.027876437520699612,0.003420210044162971
random_j_1,70,assistant_boundary,amplification,306,51,0.008457915073723284,-0.013803243661927837,0.03135982458898187
random_j_1,70,assistant_boundary,suppression,306,51,-0.013298288976858835,-0.03559454263343355,0.008833916384625558
random_j_1,70,content_mean,amplification,306,51,0.018598477459616132,0.009401206206530333,0.027917765822334618
random_j_1,70,content_mean,suppression,306,51,-0.007962390634359098,-0.016773065852816977,0.0009324153556543231
random_j_1,70,last_content,amplification,306,51,0.0007875759631632731,-0.015405822935129146,0.017021078277054735
random_j_1,70,last_content,suppression,306,51,0.0058256105171346105,-0.008931169103434633,0.020363296511156162
random_j_1,75,assistant_boundary,amplification,306,51,0.03171096084187845,0.011454082450683358,0.053000737361204656
random_j_1,75,assistant_boundary,suppression,306,51,-0.04236038986405546,-0.0657609615663068,-0.022550025659086783
random_j_1,75,content_mean,amplification,306,51,0.06611470623304032,0.05901204694609927,0.07325333668226437
random_j_1,75,content_mean,suppression,306,51,-0.06622529180663002,-0.07277565196232018,-0.05973120647520096
random_j_1,75,last_content,amplification,306,51,0.06052455483852837,0.04313204057486705,0.077484909061048
random_j_1,75,last_content,suppression,306,51,-0.059153304163772104,-0.07626603604400407,-0.04138290938577735
