from_layer,to_layer,from_feature_id,to_feature_id,n_common_items,activation_spearman,decoder_cosine,top20_item_jaccard,selected_descriptive_edge
19,20,3040,8255,1110,0.40475639377922534,0.023906899697703526,0.0,0
19,20,3040,12440,1110,-0.07156319097229082,0.002831106031199464,0.0,0
19,20,3040,13209,1110,0.5170017848710393,0.0017245458594373785,0.0,0
19,20,10589,1115,1110,0.2855765787012534,0.006243828767509052,0.0,0
19,20,10589,5708,1110,0.6038856201774923,0.1260553524198991,0.08108108108108109,1
19,20,10589,6990,1110,0.8918192369689916,0.6985495191355765,0.14285714285714285,1
19,20,10589,8255,1110,0.6859131064107038,0.10403078869052158,0.0,1
19,20,10589,12440,1110,-0.03381650052466699,-0.00016103652288938702,0.0,0
19,20,10589,13209,1110,0.4032281467771366,0.0372469126742647,0.0,0
19,20,14566,1115,1110,0.3168990382525152,0.01658678538603335,0.05263157894736842,0
19,20,14566,5708,1110,0.27401053129006964,0.019606362389382303,0.0,0
19,20,14566,6990,1110,0.3869906900403659,0.03600723365415993,0.0,0
19,20,14566,8255,1110,0.07563843119665069,0.020416547384917536,0.0,0
19,20,14566,12440,1110,-0.2595726336374189,0.001439678677887576,0.0,0
19,20,14566,13209,1110,0.9153811541039941,0.8349039228149465,0.8181818181818182,1
19,20,14649,1115,1110,0.9885080522407792,0.9398567496567867,0.48148148148148145,1
19,20,14649,5708,1110,0.2919041471849299,0.023068695658419052,0.0,0
19,20,14649,6990,1110,0.2919427156193074,-0.0010435716975370848,0.0,0
19,20,14649,8255,1110,0.12273897566475128,-0.02568820575342811,0.0,0
19,20,14649,12440,1110,0.07519732304280642,-0.0018158569934500575,0.02564102564102564,0
19,20,14649,13209,1110,0.2665252967950652,0.02122239791649417,0.0,0
20,21,1115,523,1110,0.29946030236476273,-0.0124887486782358,0.0,0
20,21,1115,3560,1110,0.9938617287456911,0.9675101904975887,0.5384615384615384,1
20,21,1115,5790,1110,0.053144602360337516,0.001131228239072207,0.0,0
20,21,1115,5919,1110,0.2609117662299201,-0.04239018440729676,0.0,0
20,21,1115,14638,1110,0.06279774341013665,-0.005126449179841921,0.02564102564102564,0
20,21,1115,16291,1110,0.32752240041082337,0.011084851598108281,0.0,0
20,21,5708,523,1110,0.7646513474735919,0.5414535053325148,0.3333333333333333,1
20,21,5708,3560,1110,0.3083005518876212,0.024325981332304385,0.0,0
20,21,5708,5790,1110,0.3663720855395566,0.06289823005854338,0.0,1
20,21,5708,5919,1110,0.3964382643288046,0.16497775933339692,0.02564102564102564,1
20,21,5708,14638,1110,0.05233167640846815,0.0037388405915542346,0.0,0
20,21,5708,16291,1110,0.420572916625496,0.060408515582570405,0.02564102564102564,1
20,21,6990,523,1110,0.7125608299144348,0.21408480379758354,0.02564102564102564,1
20,21,6990,3560,1110,0.30332757855185977,0.010361264964838308,0.0,0
20,21,6990,5790,1110,0.6438668857958091,0.09273770525867159,0.0,1
20,21,6990,5919,1110,0.6327645878781644,0.03378302086940406,0.08108108108108109,0
20,21,6990,14638,1110,-0.0076315452931837125,0.0023394553882657497,0.05263157894736842,0
20,21,6990,16291,1110,0.521636439808968,0.10585595896967641,0.0,1
20,21,8255,523,1110,0.5605051837424818,0.21415895344984748,0.02564102564102564,1
20,21,8255,3560,1110,0.14361577759489186,-0.020786150591179976,0.0,0
20,21,8255,5790,1110,0.7785702365645509,0.3340852615006404,0.0,1
20,21,8255,5919,1110,0.7158776612073534,0.27450946213805644,0.0,1
20,21,8255,14638,1110,0.1688365041909686,0.002074062698692059,0.02564102564102564,0
20,21,8255,16291,1110,0.15599208089804614,0.021144762941325175,0.0,0
20,21,12440,523,1110,0.14531932836085196,0.001958275969176542,0.0,0
