sae_key,model_kind,site,layer,width,construct,selected_feature_ids,discovery_contrast,selection_contrast,confirmation_contrast,reconstruction_fvu
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,deception_roleplay,14579|8868|14515|10903|15911|1043,0.38671313179656863,0.33355345328648883,0.34459284467933077,0.32882589927136935
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,hedging_refusal,1168|4607|7108|759|14263|8246,0.4345779465511441,0.3779482884953419,0.3994796462357044,0.32882589927136935
pt_res_l31_w16384,pretrained_sae_on_instruction_model,residual_post,31,16384,subjective_self_report,7650|3522|1664|6681|4676|11523,0.2469488027272746,0.3019814904158314,0.26534977726017434,0.32882589927136935
pt_res_l32_w16384,pretrained_sae_on_instruction_model,residual_post,32,16384,deception_roleplay,13676|4470|8337|10903|2390|2324,0.45642565784510225,0.3967531299373756,0.4040446086243416,0.34072335501818174
pt_res_l32_w16384,pretrained_sae_on_instruction_model,residual_post,32,16384,hedging_refusal,11361|6202|7356|9287|6124|2950,0.42916399271537864,0.36881943295399344,0.3864055235559742,0.34072335501818174
pt_res_l32_w16384,pretrained_sae_on_instruction_model,residual_post,32,16384,subjective_self_report,1788|10888|6013|4158|15979|14427,0.26230289596909034,0.26911367080174387,0.28997400325412553,0.34072335501818174
pt_res_l33_w16384,pretrained_sae_on_instruction_model,residual_post,33,16384,deception_roleplay,4559|4553|4017|908|4901|827,0.46839405910577625,0.41024731115127605,0.43246733428289497,0.3521923486980198
pt_res_l33_w16384,pretrained_sae_on_instruction_model,residual_post,33,16384,hedging_refusal,7092|6202|352|739|14168|5153,0.4354320845256249,0.4053869669636091,0.44193475134670734,0.3521923486980198
pt_res_l33_w16384,pretrained_sae_on_instruction_model,residual_post,33,16384,subjective_self_report,1212|8262|2310|14675|3412|593,0.2741424323370059,0.2873844390269369,0.288424992080157,0.3521923486980198
pt_res_l34_w16384,pretrained_sae_on_instruction_model,residual_post,34,16384,deception_roleplay,13676|823|11122|8443|6516|1747,0.4509541885539269,0.3995107407681644,0.40662217217807967,0.3654137135467031
pt_res_l34_w16384,pretrained_sae_on_instruction_model,residual_post,34,16384,hedging_refusal,5328|650|739|5092|2247|11623,0.37927187234163284,0.39333304638663924,0.3965111350019773,0.3654137135467031
pt_res_l34_w16384,pretrained_sae_on_instruction_model,residual_post,34,16384,subjective_self_report,2941|11101|9767|2959|8999|8648,0.25722461418869597,0.314249370014295,0.2891556969067703,0.3654137135467031
pt_res_l35_w16384,pretrained_sae_on_instruction_model,residual_post,35,16384,deception_roleplay,13676|10863|16168|7526|5051|15128,0.4650111738592386,0.4338422420745095,0.45245982582370436,0.3758758141958128
pt_res_l35_w16384,pretrained_sae_on_instruction_model,residual_post,35,16384,hedging_refusal,13983|9085|739|11638|12713|4470,0.49556039460003376,0.4511301902433237,0.4975491215785345,0.3758758141958128
pt_res_l35_w16384,pretrained_sae_on_instruction_model,residual_post,35,16384,subjective_self_report,3014|8507|14280|8853|684|7753,0.2793337635230273,0.3309493428096175,0.2966021718457341,0.3758758141958128
pt_res_l36_w16384,pretrained_sae_on_instruction_model,residual_post,36,16384,deception_roleplay,1650|4559|1503|11933|1891|11436,0.4124035887264957,0.3928074088568489,0.402768205696096,0.3885711399391914
pt_res_l36_w16384,pretrained_sae_on_instruction_model,residual_post,36,16384,hedging_refusal,5612|11116|3826|739|3005|15953,0.4723131389667591,0.4298394341021776,0.4453504992028078,0.3885711399391914
pt_res_l36_w16384,pretrained_sae_on_instruction_model,residual_post,36,16384,subjective_self_report,1297|3443|12013|12308|13941|2790,0.2910869593033567,0.34049106459133327,0.3066659908896933,0.3885711399391914
pt_res_l37_w16384,pretrained_sae_on_instruction_model,residual_post,37,16384,deception_roleplay,13676|4014|13830|2167|11317|10971,0.4438362948130816,0.41527439188212156,0.4331861473619938,0.40504313201979364
pt_res_l37_w16384,pretrained_sae_on_instruction_model,residual_post,37,16384,hedging_refusal,5619|4429|739|7277|940|715,0.3570057495186726,0.39545579068362713,0.3937832321971655,0.40504313201979364
pt_res_l37_w16384,pretrained_sae_on_instruction_model,residual_post,37,16384,subjective_self_report,7557|16175|3173|14844|10845|6532,0.27955118908236426,0.31996433266128105,0.2972850054502487,0.40504313201979364
pt_res_l38_w16384,pretrained_sae_on_instruction_model,residual_post,38,16384,deception_roleplay,15812|10417|5538|13145|13272|1285,0.4113694513216615,0.38712688659628236,0.40251865703612566,0.41470037267587895
pt_res_l38_w16384,pretrained_sae_on_instruction_model,residual_post,38,16384,hedging_refusal,9085|12200|11823|15242|5619|7579,0.41592598892748356,0.44344132021069527,0.4422005830953518,0.41470037267587895
pt_res_l38_w16384,pretrained_sae_on_instruction_model,residual_post,38,16384,subjective_self_report,11894|711|4829|3773|15242|5453,0.2794362138180683,0.33372193404162925,0.2781902910210192,0.41470037267587895
pt_res_l39_w16384,pretrained_sae_on_instruction_model,residual_post,39,16384,deception_roleplay,3324|14665|15368|10108|4711|7143,0.39777172232667607,0.37828225518266356,0.3953398928667108,0.43880348223985943
pt_res_l39_w16384,pretrained_sae_on_instruction_model,residual_post,39,16384,hedging_refusal,5619|5327|16274|7186|10850|16314,0.4530729344114661,0.41716717556118965,0.4508063246806463,0.43880348223985943
pt_res_l39_w16384,pretrained_sae_on_instruction_model,residual_post,39,16384,subjective_self_report,7199|14844|11894|5187|11813|9848,0.348975266640385,0.3747100349670897,0.3728462610548983,0.43880348223985943
pt_res_l3_w16384,pretrained_sae_on_instruction_model,residual_post,3,16384,deception_roleplay,5829|7274|5100|4668|6892|14792,0.26374453799022984,0.19179658498615026,0.1959796541680892,0.1874663229074258
pt_res_l3_w16384,pretrained_sae_on_instruction_model,residual_post,3,16384,hedging_refusal,9592|342|15525|12009|7958|14443,0.32355920986386383,0.2079290748418619,0.2118761116483559,0.1874663229074258
pt_res_l3_w16384,pretrained_sae_on_instruction_model,residual_post,3,16384,subjective_self_report,10510|3961|8010|4671|7594|15269,0.20406642729358282,0.12661091808695346,0.1691682742869792,0.1874663229074258
pt_res_l40_w16384,pretrained_sae_on_instruction_model,residual_post,40,16384,deception_roleplay,8834|299|8398|9233|14209|3523,0.4036547547827164,0.3954613128056129,0.41431279480457306,0.46958322226445054
